Measure,Time,Band,Cluster,Normative_Mean,Normative_Std,diff,tCI_5,tCI_95,corr,cor_5,corr_95,cv,cv_5,cv_95,ICC,ICC_5,ICC_95,SEM
ERSP,120 - 180,12 - 25,Anterior-Frontal Left,0.0673380739318867,0.0718927081181406,-0.0001878778544205,-0.01,0.01,0.7131566309866514,0.56,0.82,53.953991458408765,45.433606544075126,62.47437637274243,0.7039575123561053,0.54,0.81,0.0378372086650275
ERSP,120 - 180,12 - 25,Anterior-Frontal Midline,0.07876757575715511,0.07940331505420553,0.0019475897344972,-0.01,0.02,0.7837951041147588,0.66,0.87,325.10179791914055,274.1071758557708,376.0964199825104,0.7791197212397423,0.65,0.86,0.0365212251589031
ERSP,120 - 180,12 - 25,Anterior-Frontal Right,0.07202424547490535,0.07478074616532245,0.0008800178375041,-0.01,0.02,0.6814894399641758,0.51,0.8,-233.76735867931532,-197.21732603022903,-270.3173913284016,0.6824248707072497,0.51,0.8,0.040177753301058
ERSP,120 - 180,12 - 25,Centro-Parietal Left,0.14142394473282646,0.12834463107184196,0.0127746333891688,-0.01,0.03,0.8012972121562377,0.68,0.88,54.00007758049238,45.47247345644351,62.52768170454125,0.798652178684237,0.68,0.88,0.0515858975141454
ERSP,120 - 180,12 - 25,Centro-Parietal Midline,0.0686536279140258,0.07105706482940338,0.0023891665078684,-0.01,0.02,0.6674381565187258,0.49,0.79,99.46017902517968,83.81142885615802,115.10892919420132,0.6708256117013585,0.5,0.79,0.0386463723650132
ERSP,120 - 180,12 - 25,Centro-Parietal Right,0.042065416515461175,0.06069977960743749,0.0085541015831469,-0.01,0.02,0.5604071645706221,0.35,0.72,48.68792485435018,40.99244855610669,56.38340115259367,0.5533183453759459,0.35,0.71,0.0425549876841029
ERSP,120 - 180,12 - 25,Fronto-Central Left,0.07733348825264394,0.07875314221142451,0.0047572571183595,-0.01,0.02,0.7006940005386335,0.54,0.81,47.718066138649625,40.174514392662054,55.26161788463718,0.7004859007319073,0.54,0.81,0.0424853044651352
ERSP,120 - 180,12 - 25,Fronto-Central Midline,0.10594112706728555,0.0887843474399044,0.0007106263869885,-0.02,0.02,0.7259057643243961,0.57,0.83,119.94888779579333,101.09066200327403,138.8071135883126,0.7289378481302843,0.58,0.83,0.0488311967049374
ERSP,120 - 180,12 - 25,Fronto-Central Right,0.07716583527892983,0.06911840897004069,0.0025740612332184,-0.01,0.02,0.6819705734979153,0.51,0.8,184.67671614722255,155.6791306916965,213.67430160274873,0.6770449394498093,0.51,0.8,0.0426709494699819
ERSP,120 - 180,12 - 25,Occipital Midline,0.050590206656412035,0.05958402194091079,0.0110656305777658,-0.0,0.03,0.6261326999292621,0.44,0.76,135.31568242301154,114.05030870723758,156.58105613878553,0.6074130681364293,0.42,0.75,0.0429492252540635
